:START_ID(User),:END_ID(Post)
4,1
8,2
8,3
8,4
8,5
16,6
4,7
17,8
19,9
8,10
17,11
19,12
25,13
22,14
24,15
23,16
17,17
4,18
17,19
17,21
24,22
26,23
24,24
23,25
31,26
17,27
34,28
25,29
4,30
24,31
39,32
24,33
4,34
42,35
4,36
42,37
39,39
39,41
52,42
4,45
38,46
44,48
54,49
54,50
4,51
54,52
54,53
58,54
57,55
65,56
26,57
68,58
46,59
75,60
76,61
31,62
79,63
23,64
52,66
76,67
24,68
31,69
76,71
86,72
31,73
90,75
91,76
76,77
90,78
86,79
76,80
31,81
91,82
95,84
86,85
76,86
91,87
75,88
98,90
101,91
91,92
110,93
110,94
110,95
110,96
110,97
98,98
110,99
101,100
18,101
101,102
18,103
16,105
16,108
16,109
16,110
121,111
16,112
8,113
127,115
127,116
16,117
46,118
16,119
127,120
127,121
127,122
127,123
127,124
127,125
127,126
127,127
127,128
46,129
20,130
124,131
131,133
52,134
101,135
132,136
101,137
132,138
110,139
132,140
101,141
101,142
132,143
133,144
127,145
132,146
140,147
34,148
127,149
127,150
57,151
57,152
5,153
23,154
141,155
31,156
145,157
137,158
65,159
147,161
132,162
2,163
2,164
37,165
100,166
149,167
100,168
78,169
2,170
31,171
110,172
110,173
141,174
78,175
31,177
110,178
37,179
149,180
100,181
100,182
166,183
169,184
8,185
76,186
141,187
18,188
17,189
17,190
39,192
39,193
100,194
76,196
76,197
100,198
110,199
19,200
86,201
2,202
18,203
18,204
17,205
17,206
101,207
179,208
172,209
131,211
181,212
17,213
121,214
16,215
121,216
127,217
127,218
8,219
8,220
185,221
52,222
101,223
31,224
101,225
78,226
132,227
125,228
37,230
141,231
191,232
194,234
91,235
196,236
91,237
18,238
76,239
197,240
8,241
197,242
8,243
197,244
197,245
127,246
127,247
18,249
18,250
169,251
98,252
98,253
29,255
101,256
87,257
141,258
78,259
141,260
76,261
181,262
31,263
34,264
76,266
9,267
9,268
76,269
110,270
98,271
214,272
214,273
132,274
2,275
101,276
34,277
141,278
211,280
124,282
31,283
181,284
127,285
127,286
127,287
141,288
100,289
31,290
132,291
17,292
17,293
17,294
191,296
224,297
191,298
127,299
127,300
133,301
225,302
127,303
131,304
141,305
225,306
76,307
225,308
23,309
76,310
131,311
132,312
23,314
127,315
23,316
76,317
127,318
141,319
214,320
214,321
76,322
225,323
86,324
145,325
145,326
131,327
242,328
81,330
131,331
145,332
8,333
76,334
153,335
76,336
8,337
8,338
8,339
8,340
76,341
101,342
98,343
47,344
8,345
127,346
76,347
4,348
52,349
9,350
-1,357
-1,359
-1,360
-1,361
-1,363
52,365
127,366
127,367
127,368
127,369
1562,370
127,371
127,372
127,373
19,374
19,375
4,376
19,377
23,378
98,379
225,380
86,381
128,382
23,384
127,385
132,386
127,387
131,388
127,389
262,390
76,391
76,392
4,393
4,394
-1,397
-1,398
269,399
267,400
42,401
266,402
98,403
76,404
98,405
225,406
98,407
225,408
225,409
225,410
267,411
225,412
78,413
262,414
127,415
75,416
75,417
262,418
262,419
4,420
225,421
4,422
262,423
277,424
56,425
75,426
75,427
277,429
262,430
92,431
92,432
137,433
262,434
191,435
286,436
225,437
225,438
31,439
101,443
101,444
123,445
262,446
137,447
31,448
267,450
191,451
191,452
191,453
262,454
262,455
288,456
36,457
52,458
127,460
262,461
294,462
266,463
294,464
127,465
127,466
294,467
266,468
262,469
302,471
294,473
294,474
294,475
262,476
191,477
294,478
294,479
262,480
305,481
277,482
191,483
124,484
302,485
24,486
277,487
302,488
277,489
4,490
4,491
76,492
75,493
127,495
294,496
294,497
317,498
262,1496
262,1499
100,1500
76,1501
100,1503
75,1504
339,1505
75,1506
262,1507
98,1508
203,1509
127,1510
75,1515
75,1516
108,1518
230,1519
262,1521
127,1522
195,1523
262,1524
76,1526
259,1527
262,1528
362,1529
75,1530
75,1531
127,1533
75,1534
368,1535
127,1536
294,1537
294,1538
262,1539
259,1540
76,1541
277,1542
75,1543
75,1544
262,1545
75,1546
75,1547
75,1548
377,1549
379,1550
262,1551
127,1552
262,1553
23,1554
31,1555
141,1556
387,1557
75,1558
75,1559
-1,1560
262,1561
262,1562
191,1563
262,1564
262,1565
394,1566
75,1567
75,1568
76,1569
75,1570
75,1571
127,1572
262,1574
300,1575
127,1576
387,1577
262,1578
423,1579
-1,1580
75,1581
2,1582
2,1583
262,1584
75,1585
262,1586
266,1587
76,1588
34,1589
262,1590
34,1591
34,1592
157,1593
157,1594
157,1595
137,1596
76,1597
266,1598
127,1599
262,1600
157,1601
157,1602
179,1603
157,1604
157,1605
157,1606
262,1607
203,1608
137,1609
157,1611
157,1612
157,1613
157,1614
34,1615
443,1616
443,1617
446,1618
394,1619
127,1620
262,1621
262,1622
443,1623
271,1624
-1,1625
1931,1626
98,1627
262,1628
469,1629
472,1630
121,1631
34,1632
131,1633
140,1634
34,1635
34,1636
479,1637
469,1640
502,1641
137,1642
259,1643
16,1644
8,1645
137,1646
127,1647
510,1648
510,1649
76,1650
262,1651
526,1653
262,1654
527,1655
532,1656
75,1657
535,1658
23,1659
262,1660
262,1662
542,1664
542,1665
443,1666
548,1667
526,1668
262,1669
443,1670
535,1671
262,1672
556,1673
563,1675
443,1676
443,1677
76,1679
1118,1680
1118,1681
576,1682
576,1683
576,1684
576,1685
443,1686
266,1687
195,1688
34,1689
98,1690
76,1691
2,1692
76,1693
589,1694
589,1695
76,1696
591,1697
16,1698
595,1699
576,1701
576,1702
76,1703
599,1704
76,1705
602,1706
443,1707
443,1708
277,1709
101,1710
610,1711
612,1712
615,1713
623,1714
8,1715
624,1716
626,1717
86,1718
76,1719
615,1720
589,1721
76,1723
636,1725
137,1726
641,1727
642,1728
157,1730
652,1731
127,1732
652,1733
121,1734
71,1735
652,1737
86,1738
262,1740
262,1741
443,1742
-1,1743
75,1744
-1,1745
75,1746
662,1747
526,1748
44,1749
668,1750
612,1751
76,1752
612,1753
5,1754
137,1756
676,1757
676,1758
262,1759
157,1760
52,1761
652,1762
282,1765
75,1766
76,1767
676,1768
699,1769
676,1770
-1,1772
75,1773
98,1774
52,1775
137,1776
709,1777
25,1778
127,1779
712,1780
101,1781
101,1782
683,1784
76,1785
277,1786
195,1788
652,1789
722,1790
683,1791
145,1792
145,1793
726,1794
726,1795
652,1796
652,1797
76,1799
730,1800
56,1801
676,1802
76,1809
121,1810
157,1811
157,1812
157,1813
76,1814
76,1815
76,1816
458,1817
526,1818
730,1819
741,1820
101,1821
683,1822
101,1823
101,1824
683,1825
747,1826
747,1828
747,1830
101,1831
749,1832
755,1833
758,1834
157,1835
768,1837
25,1838
225,1839
225,1840
149,1841
775,1842
686,1843
780,1844
780,1845
788,1846
798,1847
780,1848
225,1849
225,1850
803,1851
804,1852
123,1853
1940,1854
976,1855
816,1856
-1,1857
819,1858
819,1859
819,1860
563,1861
563,1862
819,1863
612,1864
612,1865
612,1866
612,1867
612,1868
827,1869
76,1870
2,1872
780,1873
563,1875
195,1876
563,1877
819,1878
780,1879
803,1880
526,1881
225,1882
862,1883
98,1884
869,1885
76,1886
76,1889
873,1890
616,1891
76,1892
882,1893
883,1894
886,1895
76,1896
225,1897
883,1898
23,1899
883,1900
262,1901
262,1902
887,1903
76,1904
898,1905
898,1906
101,1907
101,1908
101,1909
916,1911
917,1912
918,1914
225,1915
262,1916
870,1917
924,1918
924,1919
924,1920
929,1921
924,1922
922,1923
589,1925
127,1926
76,1927
946,1929
883,1932
924,1933
924,1934
954,1935
959,1936
262,1937
959,1938
959,1939
959,1940
970,1943
262,1944
974,1945
959,1946
976,1949
976,1950
976,1951
980,1952
676,1953
883,1954
981,1955
982,1956
982,1957
982,1958
982,1959
976,1960
984,1961
175,1962
76,1963
988,1964
262,1965
262,1966
989,1967
989,1968
990,1969
98,1970
262,1971
262,1972
984,1973
993,1974
982,1975
994,1976
998,1977
101,1978
262,1979
1000,1980
825,1981
1004,1982
563,1983
803,1984
76,1985
127,1986
262,1987
192,1988
1010,1989
1016,1991
959,1992
1016,1993
1024,1995
1026,1996
825,1997
1027,1998
132,1999
1024,2001
1031,2002
1031,2003
1037,2004
1042,2005
443,2007
1031,2008
76,2009
1011,2010
1062,2012
1062,2013
262,2014
1064,2015
1068,2016
1068,2017
1062,2019
924,2020
825,2021
127,2023
127,2024
262,2025
127,2026
127,2027
262,2028
959,2029
262,2030
1093,2032
262,2033
76,2034
1096,2035
959,2036
1087,2037
1102,2038
262,2039
1062,2040
959,2041
825,2042
-1,2043
976,2044
-1,2045
976,2046
-1,2047
976,2048
-1,2049
976,2050
121,2051
924,2052
1087,2053
1116,2054
76,2055
1117,2056
1118,2057
976,2058
1123,2059
1068,2060
1126,2061
959,2062
1120,2063
959,2065
1143,2067
1068,2068
37,2069
262,2070
75,2072
1160,2073
118,2074
127,2075
691,2076
75,2077
1160,2078
1068,2079
1171,2080
1174,2081
75,2082
127,2083
1188,2084
1189,2085
1192,2086
1118,2087
1200,2088
642,2089
959,2090
1223,2091
1223,2093
76,2094
1231,2095
1223,2096
1242,2097
75,2098
1248,2100
1251,2101
76,2102
1264,2103
262,2104
1251,2105
1026,2106
1251,2107
825,2109
1277,2110
1277,2111
1277,2112
1281,2113
1251,2114
1285,2115
1287,2116
1288,2117
76,2119
1296,2120
1299,2121
1302,2122
195,2123
1305,2124
1309,2125
262,2126
1317,2127
25,2128
1319,2129
924,2130
652,2131
262,2132
750,2133
1333,2134
1334,2135
1348,2137
1348,2138
1351,2139
1356,2140
262,2141
262,2142
1362,2143
1327,2144
1327,2145
1327,2146
1327,2147
1327,2148
1327,2149
1365,2150
1327,2151
1223,2152
1327,2153
1343,2154
101,2155
642,2156
1386,2157
1386,2158
924,2159
1174,2160
1327,2161
1157,2162
1393,2163
1400,2164
1403,2165
1157,2166
277,2167
1327,2168
34,2169
1417,2170
1157,2171
1327,2172
1357,2173
1420,2174
277,2175
1423,2176
127,2177
76,2178
1427,2179
1068,2182
1431,2183
1431,2184
1431,2185
1433,2186
1251,2187
1068,2188
262,2189
1327,2190
1327,2191
1432,2192
1026,2195
1026,2196
589,2197
803,2198
1452,2199
1455,2200
1456,2201
1457,2203
1457,2204
1118,2205
262,2206
1102,2208
1327,2209
1468,2210
1251,2211
1423,2212
1482,2213
1486,2214
1488,2217
1492,2218
1157,2219
1157,2220
1494,2221
127,2222
127,2223
127,2224
127,2225
1488,2226
924,2227
1492,2228
1327,2229
970,2230
1068,2232
616,2233
1526,2235
1527,2236
1525,2237
1118,2238
1530,2239
1531,2240
1531,2241
1543,2243
-1,2244
1527,2245
1157,2247
1558,2249
1531,2250
76,2251
1564,2252
277,2255
1574,2256
1576,2257
1431,2259
1431,2260
1431,2262
1585,2264
1502,2265
262,2266
1587,2267
1527,2269
1589,2270
1068,2271
1596,2273
76,2274
1604,2275
1118,2277
1348,2278
1348,2279
1348,2280
739,2281
1442,2282
1442,2283
1442,2284
1157,2285
1118,2286
1494,2287
1492,2288
1492,2289
1618,2290
1618,2291
98,2292
1621,2293
1631,2294
1492,2295
1348,2297
1611,2298
1638,2299
1096,2300
1068,2301
1627,2302
1647,2303
1637,2304
1637,2305
1527,2306
730,2307
100,2308
100,2309
34,2310
1666,2311
1118,2312
1068,2313
1670,2314
1068,2315
262,2316
1683,2317
1683,2318
1118,2319
1637,2320
1688,2321
1692,2322
1692,2323
1693,2324
1695,2326
1569,2327
1702,2328
76,2329
1721,2331
1525,2332
1722,2333
1722,2334
1431,2335
1431,2337
1723,2338
76,2339
443,2340
1741,2341
1741,2342
1751,2345
1741,2346
1741,2347
1757,2348
1762,2349
1766,2350
262,2351
1769,2352
1118,2353
98,2354
1118,2355
1776,2357
1712,2358
262,2359
262,2360
262,2361
262,2362
1786,2363
612,2365
612,2366
277,2369
76,2370
1838,2371
1842,2372
1502,2373
76,2374
1850,2375
1848,2376
1848,2377
1850,2378
1848,2379
1848,2380
1723,2381
76,2382
1854,2383
277,2384
262,2385
1848,2386
1850,2387
76,2388
1741,2389
1858,2390
76,2391
1848,2392
1863,2393
277,2394
1848,2395
1867,2396
1872,2397
277,2399
76,2402
1892,2403
1894,2404
1895,2405
1850,2407
98,2408
1848,2409
1903,2410
1904,2411
1525,2415
1762,2416
1431,2417
262,2418
1248,2420
1431,2421
1931,2422
76,2423
1931,2424
1940,2425
1940,2426
1942,2427
1936,2429
1940,2430
1502,2431
1931,2432
1949,2433
76,2434
1702,2435
127,2436
1931,2437
214,2438
76,2439
76,2440
1931,2441
1970,2442
76,2443
1972,2444
1982,2445
1982,2446
1983,2447
1989,2449
1302,2451
959,2452
1327,2453
1327,2454
1431,2455
1431,2456
1431,2457
1431,2458
2004,2459
2005,2460
1954,2461
1970,2462
443,2463
1431,2464
1431,2465
1989,2466
1989,2467
1936,2468
1989,2469
2009,2470
1665,2471
2019,2472
819,2473
1972,2475
1931,2476
2026,2477
1867,2478
191,2479
1936,2480
127,2481
1895,2482
127,2483
1931,2484
-1,2485
1931,2486
-1,2487
1931,2488
2036,2489
98,2490
2041,2491
1936,2492
959,2493
98,2494
127,2495
2015,2496
127,2497
262,2498
262,2499
262,2500
-1,2501
1931,2502
1431,2503
1431,2504
1431,2505
2058,2506
262,2507
2069,2508
2072,2509
2072,2511
2076,2513
898,2514
2081,2515
2081,2516
2015,2517
2015,2518
2082,2519
1952,2522
262,2523
2087,2526
2090,2527
1952,2528
1954,2529
262,2530
1525,2531
2015,2533
1118,2534
2094,2535
1848,2536
2015,2537
2089,2538
2104,2539
2104,2540
2015,2541
2107,2542
2107,2543
2107,2544
2107,2545
2109,2546
1238,2547
2089,2548
76,2549
2118,2550
262,2551
2089,2552
443,2554
2136,2555
262,2556
2146,2557
730,2558
1931,2559
2118,2560
2089,2561
2160,2562
1848,2563
1393,2564
2163,2565
1431,2567
1431,2568
1431,2569
2196,2570
1848,2571
2148,2572
98,2573
262,2574
2015,2575
2110,2577
1118,2579
2015,2580
98,2581
1431,2582
1848,2583
2219,2584
2220,2585
2221,2586
2223,2587
2229,2588
819,2589
544,2591
1848,2592
271,2593
2241,2594
2241,2595
2241,2596
1848,2597
2244,2598
1589,2599
1848,2601
2246,2602
1502,2603
76,2604
98,2605
2118,2606
76,2607
362,2608
362,2609
362,2610
362,2611
2257,2612
2258,2613
1205,2614
2118,2615
443,2617
443,2618
2266,2619
2266,2620
2270,2623
2276,2624
1848,2625
2271,2626
2281,2627
2276,2628
2282,2629
1896,2631
1896,2632
2285,2633
443,2634
362,2635
2118,2640
1702,2641
2305,2642
2306,2643
2309,2644
1848,2645
1848,2646
2276,2647
2316,2648
2285,2649
2202,2650
1502,2651
1896,2652
1848,2653
1848,2654
1848,2655
395,2656
2118,2657
2324,2658
1431,2660
1431,2661
2339,2662
2346,2663
2345,2664
1848,2665
1848,2667
1848,2668
2353,2669
1848,2670
2118,2671
2349,2672
2349,2673
2363,2674
2118,2675
2241,2678
1848,2679
2388,2680
1848,2681
2396,2682
2396,2683
76,2684
76,2685
2396,2686
2397,2687
2399,2688
2207,2689
2400,2690
76,2691
76,2692
2372,2693
1118,2694
2412,2695
2418,2696
1848,2697
1702,2698
2418,2699
2230,2700
2374,2701
2424,2703
98,2704
131,2705
1502,2706
1848,2707
1848,2708
1848,2709
2207,2710
76,2711
2230,2712
2440,2714
2207,2715
2104,2716
2444,2717
1848,2718
1702,2719
362,2720
362,2721
76,2722
262,2727
1848,2728
262,2729
400,2730
400,2731
1848,2732
2468,2733
262,2734
127,2735
127,2736
262,2737
1848,2738
1431,2739
2483,2740
1256,2741
1319,2742
2488,2743
2492,2744
2493,2745
127,2746
1848,2747
2494,2748
2493,2749
2493,2750
2367,2751
2412,2752
76,2753
2493,2754
101,2755
1848,2756
76,2757
819,2758
819,2759
1922,2760
2418,2763
1848,2764
2512,2765
2493,2766
2230,2767
2520,2768
1848,2769
262,2770
825,2771
1848,2772
-1,2773
1848,2774
1068,2775
2541,2776
1848,2777
1896,2778
1896,2779
2207,2780
2549,2781
2551,2782
1118,2783
1848,2784
2551,2786
76,2787
2556,2788
2560,2789
2412,2791
1848,2792
2493,2793
2565,2794
1848,2795
1848,2796
1848,2797
2568,2799
1848,2800
1848,2801
2493,2802
2571,2803
2571,2804
2571,2805
2367,2806
1118,2807
2572,2808
1848,2809
2367,2810
2578,2812
1302,2813
2572,2814
2572,2815
2572,2816
2572,2817
2572,2818
2572,2819
1786,2820
2493,2821
262,2822
2493,2823
2493,2824
1848,2825
2203,2827
1719,2828
2594,2829
1502,2830
2493,2831
2493,2832
2493,2833
2493,2834
2493,2835
2493,2836
2493,2837
2493,2838
2572,2839
2493,2840
52,2842
2493,2843
2614,2844
2619,2845
2620,2846
2572,2847
1848,2848
2624,2849
2623,2850
1848,2851
1848,2852
2641,2855
2644,2856
1848,2858
1118,2859
2651,2860
2652,2861
362,2862
2655,2863
1848,2865
2658,2867
2676,2868
1848,2869
262,2870
2526,2871
2686,2872
1917,2873
1848,2874
2696,2875
2708,2877
1087,2878
2713,2879
443,2881
443,2882
2720,2883
2721,2884
2367,2885
1604,2887
2735,2889
1848,2891
2736,2892
2738,2893
2740,2894
-1,2895
2740,2896
1848,2897
2741,2898
2744,2899
2745,2900
1848,2901
1896,2902
2572,2903
2651,2904
2750,2905
2750,2906
2751,2907
1848,2908
1502,2909
2745,2910
2757,2911
1589,2912
2765,2914
2777,2916
2784,2918
2787,2919
2791,2920
1848,2921
2802,2924
2572,2925
2572,2926
2817,2927
2817,2928
2819,2929
1702,2930
2832,2931
2836,2932
1848,2933
2839,2934
1848,2937
2572,2938
2572,2939
2844,2940
1702,2941
1702,2942
2847,2943
443,2944
2855,2945
141,2946
2862,2947
225,2949
2867,2950
2828,2951
2855,2952
2832,2953
2874,2954
2896,2955
1031,2956
2899,2957
1348,2958
96,2959
1848,2960
2900,2961
2572,2962
1848,2963
2875,2964
2908,2965
2828,2966
49,2967
2828,2968
2913,2969
2913,2970
2913,2971
2923,2972
271,2973
2935,2976
1848,2977
2010,2978
2761,2979
2944,2980
2947,2981
2908,2982
2908,2983
2959,2984
2851,2985
2965,2986
1702,2987
825,2988
2828,2989
56,2990
2828,2992
2976,2993
2985,2995
2987,2996
2977,2997
819,2998
2993,2999
1848,3000
2996,3001
2997,3002
98,3003
1031,3004
2999,3005
3004,3006
3004,3007
2900,3008
3004,3009
3004,3010
2828,3011
3012,3012
76,3013
3021,3016
1502,3017
3022,3018
3004,3019
3027,3020
141,3021
2807,3024
3040,3025
3041,3026
3043,3027
3023,3028
141,3029
1848,3030
3055,3031
739,3032
2745,3034
2745,3035
2745,3036
2745,3037
2940,3038
76,3039
3038,3040
1848,3041
3076,3042
3077,3043
1848,3044
3079,3045
1848,3046
3083,3047
3083,3048
2827,3049
3087,3050
1848,3052
1848,3054
3097,3055
1848,3056
3100,3057
3091,3058
3107,3059
3112,3060
2828,3061
3118,3062
3122,3063
2412,3064
739,3065
3134,3066
1848,3067
3136,3068
3004,3069
3142,3070
3142,3071
3144,3072
3004,3073
1848,3074
1848,3075
3142,3076
3149,3077
3149,3078
825,3079
825,3080
3154,3081
1502,3082
98,3083
2828,3084
1922,3086
3181,3087
3185,3088
2572,3089
1492,3091
3154,3095
709,3096
3210,3097
3211,3098
3211,3099
3215,3100
1848,3101
3154,3102
1848,3103
3217,3104
1848,3105
1848,3106
3004,3107
825,3108
3223,3109
3224,3110
3198,3111
3226,3112
2851,3114
3241,3115
1848,3116
2828,3117
2828,3118
101,3122
262,3123
262,3124
709,3126
3154,3127
2094,3128
443,3130
3266,3131
3278,3132
3281,3133
262,3134
2817,3135
3289,3136
3289,3137
2817,3138
2412,3139
3004,3140
3296,3141
2836,3142
3297,3143
3299,3144
1589,3145
3305,3146
3306,3147
2908,3148
2572,3149
2855,3150
3314,3151
3142,3152
2817,3153
3326,3154
3328,3155
3329,3156
1848,3158
3142,3159
3142,3160
1397,3161
1397,3162
499,3163
1848,3164
803,3165
76,3166
1848,3168
1848,3169
1848,3170
1848,3171
3348,3172
3365,3175
3348,3176
2828,3177
3362,3179
3362,3180
2851,3181
3328,3183
1397,3184
1397,3185
1397,3186
2412,3187
1702,3188
2412,3189
2412,3190
2828,3191
3423,3192
1702,3193
3425,3194
1397,3195
3425,3196
3425,3197
3426,3198
2418,3199
3425,3200
3430,3201
3433,3202
1202,3204
3438,3205
262,3206
739,3207
271,3208
3441,3209
2761,3211
277,3212
3457,3214
1881,3215
1397,3216
3467,3218
3467,3219
3471,3220
3472,3221
3467,3222
3454,3223
1848,3224
3004,3225
3480,3226
3483,3227
3484,3228
1848,3229
3488,3230
3467,3232
3315,3233
3501,3234
3004,3235
2203,3236
3512,3237
2828,3238
149,3239
1848,3241
3483,3242
3517,3243
3523,3244
1848,3245
1397,3246
2855,3248
1702,3249
1848,3250
1397,3251
3535,3252
2828,3253
3540,3254
1848,3255
1702,3256
3552,3257
3554,3258
3555,3259
1702,3260
739,3261
3561,3262
3569,3263
1848,3264
286,3265
3579,3266
3586,3267
3563,3268
3593,3269
3593,3270
3593,3271
3593,3272
3504,3273
141,3274
3572,3275
2751,3276
3610,3277
3593,3278
1397,3281
2015,3282
2908,3283
3639,3284
1848,3285
3648,3288
3650,3289
1848,3290
660,3291
262,3292
3655,3293
959,3295
3670,3296
3672,3297
3673,3298
1848,3299
1848,3300
3676,3301
825,3302
3677,3303
3678,3304
1702,3305
3688,3306
2745,3308
3694,3309
3696,3310
3696,3311
825,3313
825,3314
3700,3316
1702,3317
825,3318
3706,3319
3706,3320
3706,3321
443,3322
3509,3323
1848,3324
2828,3325
3716,3326
1118,3327
3718,3328
1848,3329
1850,3330
2817,3331
2745,3332
3730,3333
3731,3334
3732,3335
3743,3336
1031,3337
1702,3338
362,3339
1848,3340
52,3341
1525,3342
3757,3343
262,3345
3770,3346
3771,3347
1702,3349
1776,3350
3783,3351
3784,3352
2828,3353
3787,3354
3790,3355
1118,3356
1397,3357
1397,3358
2828,3360
3795,3362
1848,3363
1702,3364
127,3365
1397,3366
819,3367
2828,3368
1848,3369
1118,3370
3810,3371
3817,3372
3818,3373
3819,3374
1702,3375
1397,3376
3825,3377
3828,3378
3829,3379
1848,3380
3830,3381
3830,3382
3831,3383
3827,3384
2745,3385
3833,3386
1702,3387
3501,3389
3840,3391
3841,3392
3819,3393
3843,3394
1397,3395
3819,3396
3860,3397
3819,3398
3827,3399
3867,3400
3867,3401
2908,3402
2745,3405
2745,3406
3875,3407
3877,3408
1702,3409
3878,3410
3886,3411
1525,3412
2908,3413
1397,3414
1348,3415
1719,3416
3910,3420
3911,3421
3916,3422
2908,3423
3921,3424
3916,3425
3945,3428
3946,3429
959,3430
3958,3431
3963,3433
3965,3434
3964,3435
959,3437
1118,3438
3976,3439
3593,3440
1848,3441
3980,3442
1589,3444
3771,3445
1848,3446
1348,3447
3784,3448
1589,3449
3995,3450
3996,3451
3470,3452
262,3453
3896,3454
98,3455
1589,3456
4011,3457
1848,3460
4018,3461
3743,3462
2572,3463
4022,3464
4038,3465
4033,3466
1848,3467
3501,3468
4057,3469
4055,3470
4065,3471
4068,3472
4068,3473
1397,3474
3957,3475
4055,3476
4070,3477
1431,3478
4087,3479
4091,3480
4082,3481
262,3484
4108,3485
4109,3486
4110,3487
127,3488
4111,3489
4111,3490
3492,3491
4113,3492
4114,3493
4114,3494
1932,3497
4114,3498
4114,3499
4114,3500
4114,3501
4142,3502
2595,3503
4136,3504
4137,3505
2827,3506
3771,3508
3771,3509
4114,3510
4144,3511
262,3512
1848,3513
4114,3514
2745,3515
3312,3516
1848,3517
4114,3518
4156,3519
4156,3520
1702,3521
825,3523
3423,3524
4136,3525
3930,3526
8,3527
4205,3529
4114,3530
2908,3531
1425,3532
4114,3533
4219,3534
4221,3535
1525,3536
4238,3538
4219,3539
4255,3542
4255,3543
4114,3544
4262,3545
4264,3546
1848,3547
4266,3548
4055,3549
4281,3550
4114,3551
4114,3552
4294,3554
127,3555
4114,3556
4114,3557
4300,3559
2745,3560
4306,3561
4309,3562
4114,3563
4323,3564
4326,3565
4327,3566
4330,3567
2745,3568
4156,3569
4156,3570
2745,3573
4335,3574
1848,3575
2745,3576
4114,3578
4156,3579
4114,3580
4114,3581
4349,3582
4114,3583
4351,3584
4351,3585
4365,3586
4351,3587
4375,3589
4114,3590
3771,3592
1848,3593
4351,3594
